"Q9UKE5"	"2X7F A/B/C/D/E=1-325"
"P35462"	"3PBL A/B=2-400"
"Q15831"	"2WTK C/F=43-347"
"P08709"	"1BF9 A=105-145"
"P52756"	"2LK0 A=181-210"
"Q7Z406"	"2YCU A=47-799"
"P62491"	"1OIV A/B=1-173"
"O14936"	"1KGD A=739-909"
"P11310"	"1EGC A/B/C/D=26-421"
"Q07161"	"3E7A A/B=7-300"
"P03255"	"2KJE B=53-91"
"Q9Z2X2"	"2DVW A=1-231"
"Q8TEW0"	"2KOM A=451-549"
"Q9C005"	"3G36 A/B/C/D=45-99"
"K0BRG7"	"4KQZ A/B=367-606"
"P08575"	"1YGR A/B=622-1231"
"P01912"	"1A6A B=34-220"
"Q96J94"	"2L5C A=266-399"
"Q9H4G4"	"1SMB A=1-154"
"P05132"	"1APM E=2-351"
"P28827"	"1RPM A/B=879-1156"
"Q16658"	"1DFC A/B=1-493"
"Q9Y237"	"1EQ3 A=36-131"
"P62318"	"1D3B A/C/E/G/I/K=1-75"
"P62157"	"1A29 A=2-148"
"Q99383"	"2CJK A=156-322"
"P32505"	"2JPS A=1-105"
"Q9Y6K1"	"2QRV A/D/E/H=627-909"
"Q9UMR2"	"3EWS A/B=54-475"
"Q5SW79"	"4JON A/B/C/D/E=1-126"
"O60333"	"2EH0 A=531-647"
"Q149N8"	"2M85 A=652-716"
"P48443"	"2GL8 A/B/C/D=227-463"
"Q8TF76"	"2VUW A=465-798"
"Q9NP77"	"3O2Q B/E=1-194"
"P23471"	"3JXF A/B=34-302"
"P37108"	"1E8O B/D=2-107"
"P42227"	"1BG1 A=127-715"
"P13051"	"1AKZ A=94-313"
"P55212"	"1MI9 A=34-175, B=198-290"
"Q9UNN5"	"1H8C A=569-650"
"Q99828"	"1DGU A=9-191"
"Q5EBH1"	"1RFH A=108-166"
"P51151"	"1WMS A/B=1-177"
"P42336"	"2ENQ A=331-481"
"Q8WVC0"	"4M6T A=367-462"
"O95639"	"2D9N A=61-126"
"P33240"	"1P1T A=8-111"
"Q9UKF6"	"2I7T A=1-459"
"P60896"	"1IYJ A/C=1-70"
"P27671"	"2IJE S=1028-1262"
"P61923"	"2HF6 A=1-149"
"Q68D85"	"3PV6 A=25-262"
"P42655"	"2BR9 A=1-233"
"P10145"	"1ICW A/B=28-99"
"Q9UQC2"	"2VWF B=508-522"
"Q14839"	"1MM2 A=446-501"
"Q86U70"	"2XJY B=334-368"
"P39748"	"1U7B B=331-350"
"Q15054"	"1U76 B/D/F=452-466"
"Q13813"	"2FOT C=1172-1210"
"P46939"	"1BHD A/B=144-261"
"Q9Y6W5"	"2A40 C/F=433-464"
"P26010"	"2BRQ C/D=768-798"
"P14416"	"1I15 A=34-58, B=72-97, C=108-129, D=153-172, E=190-210, F=371-396, G=403-426"
"O76074"	"1RKP A=535-860"
"P41229"	"2JRZ A=73-188"
"P04625"	"3UVV A=147-408"
"P11473"	"1DB1 A=118-427"
"Q01085"	"1X4G A=187-282"
"Q8WXI2"	"2EAN A=8-77"
"Q4FZB7"	"3S8P A/B=63-335"
"Q9Y275"	"1JH5 A/B/C/D/E/F/G/H/I/J=142-285"
"Q12962"	"3M53 B=186-195"
"P14678"	"1D3B B/D/F/H/J/L=1-91"
"P21709"	"2K1K A/B=536-573"
"Q92985"	"2O61 A=8-125"
"Q9UM13"	"1JHJ A=3-172"
"P49802"	"2A72 A/B=320-463"
"Q9UGC6"	"1ZV4 X=72-206"
"P57771"	"2IHD A=42-173"
"Q9NS28"	"2DLV A=76-202"
"P01562"	"3UX9 A/C=24-189"
"Q13043"	"2JO8 A/B=432-480"
"P11166"	"1SUK A=1-492"
"Q9HAV4"	"3A6P A/F=1-1204"
"P19138"	"1JWH A/B=1-337"
"O75367"	"1U35 C/G=1-120"
"P04512"	"1G1I A/B=95-137"
"Q07912"	"1CF4 B=448-489"
"P97879"	"1M5Z A=980-1070"
"P06899"	"3A6N D/H=1-126"
"P01215"	"1DZ7 A=25-116"
"P09429"	"2LY4 A=2-84"
"Q96P20"	"3QF2 A/B=3-112"
"Q9UBU7"	"4F99 B=210-350"
"O60603"	"1FYW A=636-784"
"P02879"	"1BR5 A=36-302"
"O35867"	"2FN5 A=502-592"
"O35274"	"2G5M B=493-602"
"P22001"	"4BGC A=104-204"
"O89343"	"2VSK A/C=188-603"
"P52701"	"2GFU A=68-201"
"P20585"	"3THW B=219-1134"
"Q92785"	"3IUF A=203-249"
"Q9NS87"	"4BN2 A/B/C=19-375"
"P09616"	"3M2L A/B/C/D/E/F/G=27-319"
"P16109"	"1FSB A=160-199"
"P46406"	"1J0X O/P/Q/R=2-333"
"P11308"	"1SXE A=112-208"
"P62308"	"1VU2 4/H/P/X/f/n/v=1-76"
"Q9H840"	"1Y96 B/D=47-131"
"Q08945"	"4IFS A=196-430"
"P41273"	"2X29 A=80-246"
"O60573"	"2JGB A=45-234"
"Q8Z6A7"	"4K6L F=23-269"
"P50591"	"1D0G A/B/D=114-281"
"Q09057"	"3VE1 A/C=56-711"
"P27635"	"2PA2 A/B=34-182"
"P06702"	"1IRJ A/B/C/D/E/F/G/H=2-114"
"Q03252"	"2LLL A=449-569"
"P20071"	"1A7X A/B=2-108"
"P68106"	"1C9H A=2-108"
"P52630"	"2KA4 B=786-838"
"P15529"	"1CKL A/B/C/D/E/F=35-160"
"O00330"	"1ZY8 K/L/M/N/O=54-274"
"O75716"	"2BUJ A/B=13-304"
"P05112"	"1BBN A=25-153"
"O00170"	"2LKN A=2-166"
"Q9Y5K6"	"2FEI A=111-166"
"P09681"	"1T5Q A=52-81"
"P07357"	"2QOS A=188-198"
"Q92956"	"1JMA B=39-200"
"P78504"	"2KB9 A=252-295"
"O95271"	"2RF5 A=1091-1325"
"Q58WW2"	"3I7O B=9-21"
"P63017"	"3CQX A/B=1-381"
"P26769"	"1AB8 A/B=871-1090"
"P26361"	"1Q3H A/B/C/D=389-673"
"P02788"	"1B0L A=20-710"
"Q1PHM6"	"3LQA G=325-494, G=82-293"
"P09012"	"1AUD A=2-102"
"P12694"	"1DTW A=46-445"
"P19659"	"2K0N A=6-90"
